,parameters_2019,precision_2019,parameters_2018,precision_2018,parameters_2017,precision_2017,mean
0,"{'n_estimators': 600, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'random_state': 0}",1.0,"{'n_estimators': 600, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'random_state': 0}",0.9937611408199644,"{'n_estimators': 600, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'random_state': 0}",0.9794275491949911,0.9910628966716518
0,"{'n_estimators': 600, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 0}",1.0,"{'n_estimators': 600, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 0}",0.9936880072137061,"{'n_estimators': 600, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 0}",0.9786476868327402,0.9907785646821488
0,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 0}",1.0,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 0}",0.9941715237302248,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 0}",0.9780564263322884,0.9907426500208377
0,"{'n_estimators': 600, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'random_state': 0}",1.0,"{'n_estimators': 600, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'random_state': 0}",0.9936880072137061,"{'n_estimators': 600, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'random_state': 0}",0.9774696707105719,0.9903858926414261
0,"{'n_estimators': 1000, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'random_state': 0}",1.0,"{'n_estimators': 1000, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'random_state': 0}",0.993601462522852,"{'n_estimators': 1000, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'random_state': 0}",0.9773550724637681,0.99031884499554
0,"{'n_estimators': 1000, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 0}",1.0,"{'n_estimators': 1000, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 0}",0.9935364727608494,"{'n_estimators': 1000, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 0}",0.9769707705934455,0.9901690811180983
0,"{'n_estimators': 1000, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'random_state': 0}",1.0,"{'n_estimators': 1000, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'random_state': 0}",0.9935364727608494,"{'n_estimators': 1000, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'random_state': 0}",0.9769230769230769,0.9901531832279754
0,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 0}",1.0,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 0}",0.9933993399339934,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 0}",0.9762282091917591,0.9898758497085843
0,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'random_state': 0}",1.0,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'random_state': 0}",0.9934047815333883,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'random_state': 0}",0.9757391963608795,0.9897146592980892
0,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'random_state': 0}",1.0,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'random_state': 0}",0.9941225860621327,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'random_state': 0}",0.9749430523917996,0.9896885461513106
