,parameters_2019,precision_2019,parameters_2018,precision_2018,parameters_2017,precision_2017,mean
0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 2, 'random_state': 0}",1.0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 2, 'random_state': 0}",0.97918637653737,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 2, 'random_state': 0}",0.9123568890643505,0.9638477552005735
0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 12, 'random_state': 0}",1.0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 12, 'random_state': 0}",0.97918637653737,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 12, 'random_state': 0}",0.9123568890643505,0.9638477552005735
0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 4, 'random_state': 0}",1.0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 4, 'random_state': 0}",0.97918637653737,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 4, 'random_state': 0}",0.9123568890643505,0.9638477552005735
0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 14, 'random_state': 0}",1.0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 14, 'random_state': 0}",0.97918637653737,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 14, 'random_state': 0}",0.9123568890643505,0.9638477552005735
0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 13, 'random_state': 0}",1.0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 13, 'random_state': 0}",0.97918637653737,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 13, 'random_state': 0}",0.9123568890643505,0.9638477552005735
0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 15, 'random_state': 0}",1.0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 15, 'random_state': 0}",0.97918637653737,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 15, 'random_state': 0}",0.9123568890643505,0.9638477552005735
0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 10, 'random_state': 0}",1.0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 10, 'random_state': 0}",0.97918637653737,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 10, 'random_state': 0}",0.9123568890643505,0.9638477552005735
0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 8, 'random_state': 0}",1.0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 8, 'random_state': 0}",0.97918637653737,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 8, 'random_state': 0}",0.9123568890643505,0.9638477552005735
0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 6, 'random_state': 0}",1.0,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 6, 'random_state': 0}",0.97918637653737,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 6, 'random_state': 0}",0.9123568890643505,0.9638477552005735
0,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 15, 'random_state': 0}",0.9535186794092094,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 15, 'random_state': 0}",0.9678249678249679,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 15, 'random_state': 0}",0.9397894736842105,0.9537110403061293
0,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 14, 'random_state': 0}",0.9535186794092094,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 14, 'random_state': 0}",0.9678249678249679,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 14, 'random_state': 0}",0.9397894736842105,0.9537110403061293
0,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 13, 'random_state': 0}",0.9535186794092094,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 13, 'random_state': 0}",0.9678249678249679,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 13, 'random_state': 0}",0.9397894736842105,0.9537110403061293
0,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 12, 'random_state': 0}",0.9535186794092094,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 12, 'random_state': 0}",0.9678249678249679,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 12, 'random_state': 0}",0.9397894736842105,0.9537110403061293
