,beat,beat_num,district,sector,count_l_stops,count_bus_stops,count_metra_stops,count_restaurants,count_bars,count_daycares,count_entertainment,count_businesses,road_distance_ft,TOTAL POPULATION,dist_to_police,dist_to_hospital
0,1,1713,17,1,3.0,26.0,0.0,63.0,9.0,6.0,1.0,92.0,169276.40579182195,13283.675263889554,5454.0688898449935,3258.0060664100265
1,0,3100,31,0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,488603.45275182615,56.71487884403758,14303.236539868989,5505.368478645425
2,5,1651,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24133.489435904987,0.0,38726.68653574369,25868.28386215341
3,1,1914,19,1,0.0,43.0,0.0,48.0,6.0,4.0,3.0,76.0,124959.49824558936,10907.560838112011,6630.602050829839,504.9155757840356
4,1,1915,19,1,0.0,44.0,0.0,25.0,5.0,2.0,2.0,53.0,255537.19083248818,12773.552374421199,4192.196165940453,1499.0991044318516
5,1,1913,19,1,1.0,17.0,0.0,40.0,10.0,4.0,3.0,84.0,94614.442215712,7773.09883971858,7048.400052584781,3416.553744321686
6,3,0735,07,3,0.0,32.0,0.0,14.0,0.0,2.0,0.0,26.0,192792.09560646975,5921.754737039777,6834.984246323897,6192.534171025946
7,1,1912,19,1,3.0,41.0,1.0,89.0,31.0,13.0,5.0,225.0,257445.0095037154,13487.006059105637,7551.553743715106,1672.444046370521
8,2,1723,17,2,0.0,41.0,0.0,84.0,11.0,4.0,2.0,213.0,235643.23304919293,21918.533085156872,2828.610480007938,7485.926789686854
9,1,1911,19,1,2.0,54.0,0.0,154.0,58.0,5.0,6.0,265.0,313206.54681383364,16191.824067076306,6857.408365759234,1466.5642103397586
10,2,1722,17,2,1.0,47.0,1.0,70.0,14.0,2.0,0.0,175.0,298448.85162240866,13688.552629106582,3206.846444003803,7865.2788915933
11,2,1923,19,2,2.0,29.0,0.0,89.0,53.0,3.0,30.0,75.0,132291.48975893462,9520.958487921529,1948.2619179381197,2080.118542285008
12,2,1724,17,2,0.0,28.0,0.0,74.0,19.0,6.0,5.0,183.0,211434.2188131741,16356.525889050781,7076.22025397069,3108.155767626326
13,2,2024,20,2,0.0,28.0,0.0,36.0,7.0,2.0,0.0,50.0,84982.04239310212,11195.68585553843,9224.617640818024,989.9849546376222
14,2,1624,16,2,0.0,68.0,0.0,72.0,19.0,10.0,5.0,159.0,372225.0929726433,15812.734834132465,6409.164280658485,4144.708895649577
